@relation 'twitter_spam_data'
@attribute LenghtOfProfileName NUMERIC
@attribute LenghtOfProfileDescription NUMERIC
@attribute NumberOfFollowings NUMERIC
@attribute NumberOfFollowers NUMERIC
@attribute NumberOfTweetsPost NUMERIC
@attribute AgeOfTheUserAccount NUMERIC
@attribute RatioOfNumberOfFollowingsAndFollowers NUMERIC
@attribute ReputationOfTheUser NUMERIC
@attribute FollowingRate NUMERIC
@attribute NumberOfWords NUMERIC
@attribute NumberOfCharacters NUMERIC
@attribute NumberOfCapitalizationCharacter NUMERIC
@attribute NumberOfCapitalizationWordPerWord NUMERIC
@attribute MaxWordLenght NUMERIC
@attribute MeanWordLenght NUMERIC
@attribute NumberOfExclamationMark NUMERIC
@attribute NumberOfQuestionMark NUMERIC
@attribute NumberOfURL NUMERIC
@attribute URLPerWord NUMERIC
@attribute NumberOfHashtag NUMERIC
@attribute HashtagPerWord NUMERIC
@attribute NumberOfMention NUMERIC
@attribute MentionPerWord NUMERIC
@attribute NumberOfSpamWord NUMERIC
@attribute SpamWordPerWord NUMERIC
@ATTRIBUTE class {spam,legitimate}
@data 
9,7,588,1217,60714,1672,2.07,0.67,0.35,17,121,53,3.12,23,0,0,0,0,0.0,0,0.0,1,0.06,0,0.0,%%%%%%%%%RT @courtkneenguyen: MY LIL BROTHER GOT AN F IN SCIENCE &amp; I CAN'T STOP LAUGHING NOOO 😭😭😂😂 https://t.co/7eTBzDplju
11,155,30936,42556,58030,1685,1.38,0.58,18.36,14,141,10,0.71,23,0,2,0,0,0.0,3,0.21,2,0.14,0,0.0,%%%%%%%%%Yum! Looks too good to be true! RT @jaynieseal: Now that’s a pancake. @bondiwholefoods #kids #breakfast #healthy 🍴💋 https://t.co/7JsMZXo82W
11,37,721,507,96051,1714,0.7,0.41,0.42,10,88,5,0.5,23,0,0,0,1,0.1,1,0.1,0,0.0,0,0.0,%%%%%%%%%3 weeks in USA (west coast) and hawaii via /r/travel https://t.co/5HecAt4382 #lovescroll
7,132,197,925,212066,2244,4.7,0.82,0.09,18,140,3,0.17,14,0,0,0,0,0.0,0,0.0,1,0.06,0,0.0,%%%%%%%%%RT @began_n: The following person was a leading role of school violence, including physical and emotional insult. (continued) https://t.co/…
13,54,177,212,973,512,1.2,0.54,0.35,25,139,2,0.08,16,0,0,4,0,0.0,0,0.0,1,0.04,0,0.0,%%%%%%%%%RT @brookevickeryy: how come the patch of foundation on my hand stays on all day but the foundation on my face comes off within an hour????
11,4,1194,745,31117,1519,0.62,0.38,0.79,2,32,6,3.0,23,0,0,0,1,0.5,0,0.0,0,0.0,0,0.0,%%%%%%%%%Will buy https://t.co/Lu7I0CFWwe
12,55,274,198,2146,1816,0.72,0.42,0.15,8,76,11,1.38,23,0,0,0,0,0.0,0,0.0,1,0.13,0,0.0,%%%%%%%%%RT @MuscleFoodUK: Always happens at the weekend .... https://t.co/soUDnQXqu3
8,64,1572,793,3398,2346,0.5,0.34,0.67,2,36,2,1.0,15,0,0,0,0,0.0,0,0.0,2,1.0,0,0.0,%%%%%%%%%@FantasiaFutbol gran gol @tomijachun
10,32,3179,3163,439518,278,0.99,0.5,11.44,7,70,12,1.71,23,0,0,0,1,0.14,0,0.0,0,0.0,0,0.0,%%%%%%%%%User Experience Designer in Jacksonville, FL - https://t.co/5NMRi4vBCP
14,48,0,82,40468,25,2.147483647E9,0.0,0.0,16,139,20,1.25,23,0,1,0,1,0.06,0,0.0,0,0.0,0,0.0,%%%%%%%%%PetSafe Stay and Play Pet Wireless Fence Containment System PIF00-12917 - Bid Now! Only $1… https://t.co/Lgme2Tixck https://t.co/1gzVEC9lu5
8,159,206,408,26745,1149,1.98,0.66,0.18,21,106,6,0.29,12,0,0,0,0,0.0,0,0.0,1,0.05,0,0.0,%%%%%%%%%RT @Bible_Time: God may not get us out of a situation, but He will give us the strength to get through it.
12,89,38,16,5,1,0.42,0.3,38.0,7,100,6,0.86,38,0,0,0,0,0.0,0,0.0,1,0.14,0,0.0,%%%%%%%%%RT @Thisblack_guy: Make this go viral ‼️‼️‼️‼️‼️‼️‼️💀💀💀💀😂😂😂😂😂😂😂😂 https://t.co/t7jdkHincN
11,159,723,398,8967,137,0.55,0.36,5.28,15,110,4,0.27,14,0,0,0,0,0.0,0,0.0,3,0.2,0,0.0,%%%%%%%%%@alexgrandwolf @adira_ari they trust their MDs and .@mssociety  They think I'm just on here messing with them.
